SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,19.242946,0.035324,19.207622,4.959101,0.009103,0.450000,0.257710
INFINITE,2,19.692855,0.046962,19.645893,4.913962,0.011634,0.445666,0.249713
INFINITE,3,19.645237,0.032847,19.612390,4.829196,0.008123,0.438279,0.245924
INFINITE,4,19.707084,0.047292,19.659792,4.807005,0.011491,0.435956,0.244018
INFINITE,5,19.713473,0.046324,19.667148,4.723055,0.011080,0.428361,0.239667
INFINITE,6,19.750236,0.038604,19.711632,4.725282,0.009233,0.428732,0.239323
INFINITE,7,19.624694,0.033089,19.591605,4.658705,0.007914,0.422799,0.237377
INFINITE,8,19.530204,0.028953,19.501252,4.651745,0.006925,0.422256,0.238198
INFINITE,9,19.639973,0.025736,19.614237,4.643902,0.006156,0.421613,0.236540
INFINITE,10,19.571081,0.023162,19.547919,4.601152,0.005540,0.417783,0.235135
INFINITE,11,19.629738,0.023696,19.606041,4.619955,0.005664,0.419481,0.235380
INFINITE,12,19.624881,0.021722,19.603159,4.620519,0.005192,0.419575,0.235465
INFINITE,13,19.667718,0.020051,19.647667,4.638128,0.004793,0.421212,0.235836
INFINITE,14,19.735025,0.018618,19.716407,4.651689,0.004450,0.422476,0.235723
INFINITE,15,19.752989,0.027142,19.725847,4.683464,0.006657,0.425164,0.237099
INFINITE,16,19.688384,0.027039,19.661346,4.689124,0.006647,0.425680,0.238219
INFINITE,17,19.667972,0.025448,19.642524,4.686814,0.006256,0.425505,0.238348
INFINITE,18,19.593873,0.025117,19.568756,4.665892,0.006163,0.423612,0.238167
INFINITE,19,19.611950,0.026343,19.585606,4.695217,0.006506,0.426246,0.239420
INFINITE,20,19.717643,0.025665,19.691979,4.730328,0.006340,0.429454,0.239871
INFINITE,21,19.674687,0.025137,19.649550,4.720132,0.006204,0.428539,0.239878
INFINITE,22,19.708359,0.024474,19.683885,4.731908,0.006039,0.429624,0.240061
INFINITE,23,19.695764,0.023410,19.672354,4.710464,0.005777,0.427699,0.239114
INFINITE,24,19.661148,0.026442,19.634706,4.719215,0.006582,0.428421,0.240019
INFINITE,25,19.707004,0.025870,19.681134,4.725397,0.006432,0.428997,0.239787
INFINITE,26,19.780492,0.029962,19.750530,4.764634,0.007537,0.432463,0.240787
INFINITE,27,19.804933,0.028852,19.776081,4.742745,0.007257,0.430499,0.239431
INFINITE,28,19.797808,0.027822,19.769986,4.733303,0.006998,0.429664,0.239038
INFINITE,29,19.761612,0.026862,19.734749,4.714729,0.006757,0.427997,0.238510
INFINITE,30,19.812157,0.026862,19.785295,4.720564,0.006737,0.428530,0.238220
INFINITE,31,19.862673,0.028409,19.834263,4.727217,0.007076,0.429104,0.237970
INFINITE,32,19.846484,0.027522,19.818962,4.718812,0.006855,0.428360,0.237735
INFINITE,33,19.891263,0.027657,19.863606,4.740709,0.006895,0.430347,0.238264
INFINITE,34,19.915258,0.027718,19.887541,4.749035,0.006904,0.431103,0.238392
INFINITE,35,19.909311,0.027208,19.882103,4.749944,0.006775,0.431197,0.238512
INFINITE,36,19.923651,0.027148,19.896503,4.763619,0.006766,0.432441,0.239016
INFINITE,37,19.950401,0.027735,19.922666,4.765435,0.006888,0.432595,0.238799
INFINITE,38,19.953177,0.030634,19.922543,4.764046,0.007559,0.432408,0.238698
INFINITE,39,19.918445,0.029876,19.888569,4.755185,0.007372,0.431619,0.238669
INFINITE,40,19.883315,0.029224,19.854091,4.752379,0.007212,0.431379,0.238972
INFINITE,41,19.877979,0.028512,19.849468,4.743488,0.007036,0.430587,0.238586
INFINITE,42,19.855742,0.027979,19.827763,4.740684,0.006904,0.430344,0.238719
INFINITE,43,19.868877,0.027706,19.841171,4.739757,0.006830,0.430266,0.238521
INFINITE,44,19.876461,0.027076,19.849385,4.742795,0.006675,0.430556,0.238583
INFINITE,45,19.862295,0.026474,19.835820,4.737641,0.006527,0.430101,0.238491
INFINITE,46,19.891888,0.026359,19.865529,4.737560,0.006488,0.430098,0.238155
INFINITE,47,19.925842,0.026349,19.899493,4.751749,0.006488,0.431387,0.238440
INFINITE,48,19.945032,0.029877,19.915154,4.760929,0.007368,0.432142,0.238661
INFINITE,49,19.950520,0.029267,19.921253,4.758449,0.007218,0.431930,0.238475
INFINITE,50,19.971273,0.029924,19.941350,4.762826,0.007368,0.432314,0.238448
INFINITE,51,19.954821,0.029825,19.924996,4.762616,0.007345,0.432297,0.238643
INFINITE,52,19.986021,0.029251,19.956770,4.765049,0.007204,0.432531,0.238411
INFINITE,53,20.019941,0.030092,19.989849,4.764268,0.007370,0.432445,0.238004
