SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,24.629657,2.048627,22.581031,18.155526,1.510126,0.792638,0.737141
INFINITE,2,24.887935,2.041454,22.846481,18.499027,1.517226,0.808657,0.743230
INFINITE,3,24.875074,2.033718,22.841356,18.697660,1.528442,0.817582,0.751629
INFINITE,4,25.089263,2.031637,23.057626,18.535262,1.501480,0.811132,0.739069
INFINITE,5,25.096748,2.033524,23.063223,18.607424,1.508175,0.814250,0.741662
INFINITE,6,25.127355,2.040092,23.087263,18.759834,1.523603,0.820773,0.746754
INFINITE,7,25.139646,2.045793,23.093854,18.782893,1.528934,0.821617,0.747281
INFINITE,8,25.138941,2.047706,23.091235,18.802713,1.531978,0.822416,0.748073
INFINITE,9,25.147611,2.041652,23.105959,18.866119,1.531906,0.825439,0.750317
INFINITE,10,25.121628,2.035020,23.086608,18.872070,1.528927,0.825864,0.751329
INFINITE,11,25.160819,2.038096,23.122723,18.828214,1.525288,0.823949,0.748452
INFINITE,12,25.117184,2.036163,23.081020,18.821642,1.525962,0.823604,0.749499
INFINITE,13,25.090742,2.039427,23.051315,18.818081,1.529760,0.823253,0.750144
INFINITE,14,25.058517,2.036747,23.021770,18.805742,1.528697,0.822716,0.750614
INFINITE,15,25.046212,2.036871,23.009340,18.712659,1.521907,0.818607,0.747233
INFINITE,16,25.041108,2.040747,23.000361,18.704730,1.524450,0.818109,0.747062
INFINITE,17,25.045376,2.045484,22.999892,18.720098,1.529011,0.818623,0.747541
INFINITE,18,25.047595,2.041778,23.005818,18.714260,1.525643,0.818506,0.747237
INFINITE,19,25.047961,2.044918,23.003044,18.709645,1.527572,0.818194,0.747037
INFINITE,20,25.036598,2.044307,22.992291,18.720094,1.528662,0.818640,0.747796
INFINITE,21,25.042825,2.044704,22.998121,18.733488,1.529665,0.819230,0.748139
INFINITE,22,25.065030,2.045039,23.019991,18.756484,1.530424,0.820289,0.748385
INFINITE,23,25.088179,2.039381,23.048798,18.777900,1.526492,0.821496,0.748542
INFINITE,24,25.084727,2.044829,23.039898,18.775904,1.530618,0.821204,0.748563
INFINITE,25,25.088953,2.045246,23.043707,18.804233,1.532981,0.822441,0.749559
INFINITE,26,25.107506,2.042621,23.064885,18.819024,1.531080,0.823235,0.749592
INFINITE,27,25.095902,2.039002,23.056900,18.814390,1.528684,0.823129,0.749754
INFINITE,28,25.109037,2.039208,23.069828,18.808087,1.527540,0.822883,0.749117
INFINITE,29,25.104055,2.038542,23.065514,18.776481,1.524783,0.821509,0.747999
INFINITE,30,25.095692,2.036168,23.059523,18.767779,1.522812,0.821189,0.747899
INFINITE,31,25.092864,2.035889,23.056975,18.779338,1.523710,0.821697,0.748444
INFINITE,32,25.097304,2.034393,23.062911,18.784156,1.522706,0.821974,0.748501
INFINITE,33,25.095669,2.032440,23.063229,18.803393,1.522852,0.822883,0.749317
INFINITE,34,25.094463,2.032609,23.061854,18.801114,1.522867,0.822774,0.749261
INFINITE,35,25.120809,2.035711,23.085098,18.822726,1.525344,0.823685,0.749331
INFINITE,36,25.118155,2.037417,23.080738,18.856659,1.529633,0.825096,0.750765
INFINITE,37,25.117083,2.035960,23.081123,18.863508,1.529141,0.825446,0.751069
INFINITE,38,25.103116,2.036307,23.066810,18.868438,1.530685,0.825607,0.751695
INFINITE,39,25.104553,2.033744,23.070809,18.876212,1.529271,0.826045,0.751960
INFINITE,40,25.107794,2.032283,23.075511,18.873366,1.527756,0.825981,0.751749
INFINITE,41,25.103366,2.031538,23.071828,18.883035,1.528237,0.826419,0.752269
INFINITE,42,25.115224,2.031307,23.083916,18.881878,1.527266,0.826410,0.751874
INFINITE,43,25.113460,2.031913,23.081548,18.885789,1.528149,0.826554,0.752082
INFINITE,44,25.118040,2.030444,23.087596,18.880462,1.526360,0.826386,0.751734
INFINITE,45,25.117124,2.028356,23.088768,18.890849,1.525643,0.826915,0.752174
INFINITE,46,25.116110,2.028660,23.087450,18.868212,1.524088,0.825911,0.751300
INFINITE,47,25.121950,2.029017,23.092933,18.880650,1.525002,0.826459,0.751616
INFINITE,48,25.119236,2.026971,23.092265,18.869146,1.522732,0.826020,0.751236
INFINITE,49,25.106685,2.025666,23.081019,18.868038,1.522416,0.825982,0.751575
INFINITE,50,25.100639,2.025752,23.074887,18.850311,1.521400,0.825186,0.751042
INFINITE,51,25.084436,2.024446,23.059990,18.847560,1.521177,0.825066,0.751429
INFINITE,52,25.089419,2.024333,23.065085,18.833558,1.519678,0.824470,0.750727
INFINITE,53,25.082162,2.024418,23.057744,18.837691,1.520527,0.824627,0.751114
INFINITE,54,25.085429,2.024882,23.060546,18.844485,1.521226,0.824917,0.751284
INFINITE,55,25.086629,2.024278,23.062351,18.839904,1.520336,0.824741,0.751065
INFINITE,56,25.088957,2.026034,23.062924,18.835152,1.521105,0.824478,0.750806
INFINITE,57,25.087176,2.027101,23.060075,18.856899,1.523832,0.825384,0.751729
INFINITE,58,25.079063,2.026915,23.052148,18.858769,1.524342,0.825449,0.752051
INFINITE,59,25.085255,2.027269,23.057987,18.852956,1.523763,0.825200,0.751638
INFINITE,60,25.080957,2.027376,23.053581,18.849158,1.523794,0.825017,0.751614
INFINITE,61,25.079515,2.027773,23.051743,18.845963,1.523917,0.824859,0.751528
INFINITE,62,25.072129,2.027348,23.044781,18.838477,1.523438,0.824526,0.751448
INFINITE,63,25.075661,2.027599,23.048061,18.825489,1.522361,0.823958,0.750829
INFINITE,64,25.084829,2.027148,23.057681,18.827494,1.521640,0.824088,0.750637
INFINITE,65,25.081197,2.025896,23.055301,18.822642,1.520531,0.823910,0.750551
INFINITE,66,25.082360,2.025944,23.056415,18.823513,1.520565,0.823950,0.750549
INFINITE,67,25.079151,2.027789,23.051362,18.814316,1.521360,0.823474,0.750275
INFINITE,68,25.076266,2.026675,23.049591,18.824819,1.521517,0.823967,0.750783
INFINITE,69,25.076064,2.026684,23.049380,18.833421,1.522230,0.824342,0.751131
INFINITE,70,25.075154,2.026102,23.049052,18.826251,1.521277,0.824046,0.750871
INFINITE,71,25.075654,2.027686,23.047968,18.828599,1.522633,0.824094,0.750948
INFINITE,72,25.071074,2.028500,23.042574,18.820250,1.522829,0.823687,0.750749
INFINITE,73,25.066488,2.026286,23.040202,18.813261,1.520898,0.823446,0.750604
INFINITE,74,25.065148,2.026285,23.038863,18.818912,1.521436,0.823689,0.750870
INFINITE,75,25.068604,2.025365,23.043240,18.834747,1.521767,0.824428,0.751392
INFINITE,76,25.071602,2.025582,23.046021,18.836690,1.521904,0.824514,0.751379
INFINITE,77,25.071836,2.026428,23.045409,18.837742,1.522612,0.824530,0.751413
INFINITE,78,25.075289,2.026328,23.048961,18.848981,1.523225,0.825036,0.751753
INFINITE,79,25.072999,2.027682,23.045317,18.842728,1.523854,0.824708,0.751570
INFINITE,80,25.073380,2.027210,23.046171,18.845329,1.523682,0.824840,0.751662
INFINITE,81,25.071199,2.027501,23.043699,18.846375,1.524122,0.824869,0.751769
INFINITE,82,25.079637,2.028162,23.051475,18.849500,1.524359,0.825007,0.751643
INFINITE,83,25.082652,2.028599,23.054053,18.857909,1.525188,0.825368,0.751885
INFINITE,84,25.082092,2.028494,23.053598,18.852880,1.524737,0.825150,0.751701
INFINITE,85,25.078582,2.028294,23.050288,18.847811,1.524389,0.824925,0.751602
INFINITE,86,25.082243,2.027877,23.054366,18.851382,1.524140,0.825107,0.751634
INFINITE,87,25.074879,2.027287,23.047592,18.842770,1.523447,0.824730,0.751507
INFINITE,88,25.080773,2.028833,23.051939,18.842219,1.524188,0.824668,0.751312
INFINITE,89,25.077664,2.029440,23.048224,18.840445,1.524690,0.824560,0.751334
INFINITE,90,25.077902,2.029304,23.048598,18.850153,1.525355,0.824990,0.751713
INFINITE,91,25.084377,2.028786,23.055591,18.849029,1.524503,0.824977,0.751479
INFINITE,92,25.084591,2.028368,23.056223,18.844972,1.523853,0.824815,0.751311
INFINITE,93,25.084097,2.027896,23.056200,18.842722,1.523350,0.824732,0.751235
INFINITE,94,25.080571,2.027313,23.053259,18.846744,1.523443,0.824919,0.751504
INFINITE,95,25.081547,2.027554,23.053993,18.854160,1.524168,0.825238,0.751769
INFINITE,96,25.083238,2.027093,23.056144,18.853682,1.523684,0.825238,0.751699
INFINITE,97,25.081803,2.027485,23.054318,18.847498,1.523556,0.824950,0.751494
INFINITE,98,25.078483,2.028537,23.049946,18.842796,1.524156,0.824697,0.751404
INFINITE,99,25.072180,2.028020,23.044159,18.842650,1.524139,0.824691,0.751591
INFINITE,100,25.076419,2.029215,23.047204,18.842524,1.524758,0.824656,0.751461
INFINITE,101,25.072764,2.028845,23.043919,18.838492,1.524376,0.824482,0.751408
INFINITE,102,25.078229,2.027393,23.050836,18.844513,1.523426,0.824814,0.751482
INFINITE,103,25.078278,2.027217,23.051061,18.848521,1.523612,0.824996,0.751640
INFINITE,104,25.077962,2.026876,23.051086,18.845637,1.523145,0.824881,0.751534
INFINITE,105,25.081180,2.026926,23.054253,18.849417,1.523292,0.825054,0.751587
INFINITE,106,25.074437,2.026367,23.048070,18.846969,1.523083,0.824947,0.751694
INFINITE,107,25.071798,2.026767,23.045031,18.842502,1.523177,0.824730,0.751593
