SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,64,19.816771,0.000000,19.816771,14.215509,0.000000,0.430773,0.717382
INFINITE,65,19.808382,0.000000,19.808382,14.210357,0.000000,0.430617,0.717427
INFINITE,66,19.806999,0.000000,19.806999,14.216079,0.000000,0.430790,0.717767
INFINITE,67,19.802997,0.000000,19.802997,14.214889,0.000000,0.430754,0.717852
INFINITE,68,19.815974,0.000000,19.815974,14.240445,0.000000,0.431529,0.718637
INFINITE,69,19.813489,0.000000,19.813489,14.232462,0.000000,0.431287,0.718321
INFINITE,70,19.823470,0.000000,19.823470,14.240709,0.000000,0.431537,0.718374
INFINITE,71,19.820912,0.000000,19.820912,14.244516,0.000000,0.431652,0.718661
INFINITE,72,19.826554,0.000000,19.826554,14.250510,0.000000,0.431834,0.718757
INFINITE,73,19.827083,0.000000,19.827083,14.264348,0.000000,0.432253,0.719435
INFINITE,74,19.825215,0.000000,19.825215,14.263612,0.000000,0.432231,0.719466
INFINITE,75,19.814750,0.000000,19.814750,14.261147,0.000000,0.432156,0.719732
INFINITE,76,19.816294,0.000000,19.816294,14.273089,0.000000,0.432518,0.720275
INFINITE,77,19.807478,0.000000,19.807478,14.265416,0.000000,0.432285,0.720206
INFINITE,78,19.820318,0.000000,19.820318,14.278542,0.000000,0.432683,0.720392
INFINITE,79,19.821068,0.000000,19.821068,14.277208,0.000000,0.432643,0.720298
INFINITE,80,19.827089,0.000000,19.827089,14.290852,0.000000,0.433056,0.720756
INFINITE,81,19.833422,0.000000,19.833422,14.293211,0.000000,0.433128,0.720648
INFINITE,82,19.842667,0.000000,19.842667,14.309522,0.000000,0.433622,0.721117
INFINITE,83,19.843775,0.000000,19.843775,14.300321,0.000000,0.433343,0.720616
INFINITE,84,19.862998,0.000000,19.862998,14.315980,0.000000,0.433818,0.720700
INFINITE,85,19.858795,0.000000,19.858795,14.313265,0.000000,0.433735,0.720717
INFINITE,86,19.867943,0.000000,19.867943,14.321516,0.000000,0.433985,0.720797
INFINITE,87,19.872711,0.000000,19.872711,14.324260,0.000000,0.434068,0.720764
INFINITE,88,19.875866,0.000000,19.875866,14.323400,0.000000,0.434042,0.720609
INFINITE,89,19.871061,0.000000,19.871061,14.311900,0.000000,0.433694,0.720196
INFINITE,90,19.868060,0.000000,19.868060,14.317067,0.000000,0.433851,0.720570
INFINITE,91,19.865752,0.000000,19.865752,14.312698,0.000000,0.433718,0.720433
INFINITE,92,19.878923,0.000000,19.878923,14.327293,0.000000,0.434160,0.720675
INFINITE,93,19.870742,0.000000,19.870742,14.315318,0.000000,0.433798,0.720358
INFINITE,94,19.880124,0.000000,19.880124,14.324458,0.000000,0.434074,0.720473
INFINITE,95,19.879207,0.000000,19.879207,14.321414,0.000000,0.433982,0.720354
INFINITE,96,19.879231,0.000000,19.879231,14.323281,0.000000,0.434039,0.720448
INFINITE,97,19.878680,0.000000,19.878680,14.322028,0.000000,0.434001,0.720405
INFINITE,98,19.874711,0.000000,19.874711,14.323590,0.000000,0.434048,0.720633
INFINITE,99,19.879851,0.000000,19.879851,14.329242,0.000000,0.434219,0.720729
INFINITE,100,19.868947,0.000000,19.868947,14.321560,0.000000,0.433987,0.720739
INFINITE,101,19.872808,0.000000,19.872808,14.326901,0.000000,0.434149,0.720866
INFINITE,102,19.879609,0.000000,19.879609,14.334123,0.000000,0.434367,0.720979
INFINITE,103,19.875005,0.000000,19.875005,14.331055,0.000000,0.434274,0.720993
INFINITE,104,19.879095,0.000000,19.879095,14.330248,0.000000,0.434250,0.720808
INFINITE,105,19.878701,0.000000,19.878701,14.330486,0.000000,0.434257,0.720835
INFINITE,106,19.878620,0.000000,19.878620,14.338783,0.000000,0.434509,0.721256
INFINITE,107,19.876365,0.000000,19.876365,14.335983,0.000000,0.434424,0.721197
INFINITE,108,19.869605,0.000000,19.869605,14.330280,0.000000,0.434251,0.721155
INFINITE,109,19.870564,0.000000,19.870564,14.329992,0.000000,0.434242,0.721106
INFINITE,110,19.874220,0.000000,19.874220,14.340425,0.000000,0.434558,0.721491
INFINITE,111,19.871581,0.000000,19.871581,14.341245,0.000000,0.434583,0.721631
INFINITE,112,19.874172,0.000000,19.874172,14.340363,0.000000,0.434556,0.721495
INFINITE,113,19.864302,0.000000,19.864302,14.329217,0.000000,0.434219,0.721281
INFINITE,114,19.865175,0.000000,19.865175,14.332261,0.000000,0.434311,0.721403
INFINITE,115,19.865962,0.000000,19.865962,14.333232,0.000000,0.434340,0.721423
INFINITE,116,19.866706,0.000000,19.866706,14.334409,0.000000,0.434376,0.721456
INFINITE,117,19.866258,0.000000,19.866258,14.336946,0.000000,0.434453,0.721601
INFINITE,118,19.867437,0.000000,19.867437,14.342083,0.000000,0.434609,0.721816
INFINITE,119,19.869224,0.000000,19.869224,14.343212,0.000000,0.434643,0.721809
INFINITE,120,19.873629,0.000000,19.873629,14.343001,0.000000,0.434636,0.721643
INFINITE,121,19.866963,0.000000,19.866963,14.336418,0.000000,0.434437,0.721551
INFINITE,122,19.878379,0.000000,19.878379,14.340251,0.000000,0.434553,0.721344
INFINITE,123,19.886372,0.000000,19.886372,14.345175,0.000000,0.434702,0.721304
INFINITE,124,19.883051,0.000000,19.883051,14.343195,0.000000,0.434642,0.721326
INFINITE,125,19.887905,0.000000,19.887905,14.346649,0.000000,0.434747,0.721324
INFINITE,126,19.898085,0.000000,19.898085,14.355719,0.000000,0.435022,0.721406
INFINITE,127,19.895776,0.000000,19.895776,14.355055,0.000000,0.435002,0.721457
INFINITE,128,19.892123,0.000000,19.892123,14.355537,0.000000,0.435016,0.721618
