SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,89,21.422394,0.550361,20.872032,10.983977,0.393560,0.558518,0.499920
INFINITE,90,21.420830,0.550031,20.870799,10.986462,0.393635,0.558561,0.500058
INFINITE,91,21.418767,0.549442,20.869325,10.983635,0.393290,0.558405,0.499937
INFINITE,92,21.429883,0.549047,20.880836,10.987371,0.393037,0.558583,0.499914
INFINITE,93,21.427561,0.548626,20.878936,10.982993,0.392822,0.558405,0.499778
INFINITE,94,21.436939,0.549160,20.887779,10.987163,0.393044,0.558583,0.499815
INFINITE,95,21.438990,0.551149,20.887840,10.990297,0.393764,0.558776,0.499922
INFINITE,96,21.439733,0.550793,20.888939,10.990603,0.393573,0.558793,0.499929
INFINITE,97,21.441576,0.550502,20.891073,10.988125,0.393428,0.558665,0.499808
INFINITE,98,21.440957,0.550489,20.890468,10.987643,0.393498,0.558649,0.499845
INFINITE,99,21.442504,0.550448,20.892056,10.989243,0.393513,0.558709,0.499903
INFINITE,100,21.442583,0.550508,20.892075,10.986752,0.393598,0.558599,0.499820
INFINITE,101,21.445815,0.550549,20.895266,10.988281,0.393543,0.558701,0.499857
INFINITE,102,21.443383,0.549835,20.893547,10.989757,0.393204,0.558682,0.499896
INFINITE,103,21.450815,0.549813,20.901002,10.993545,0.393258,0.559026,0.500003
INFINITE,104,21.450104,0.549893,20.900211,10.992464,0.393167,0.558975,0.499952
INFINITE,105,21.448885,0.549584,20.899301,10.993030,0.393112,0.558988,0.499977
INFINITE,106,21.450820,0.549935,20.900885,10.995269,0.393207,0.559082,0.500096
INFINITE,107,21.449750,0.549716,20.900034,10.992293,0.393136,0.558909,0.499997
INFINITE,108,21.448523,0.549928,20.898596,10.990941,0.393376,0.558871,0.499999
INFINITE,109,21.451750,0.549700,20.902050,10.992965,0.393212,0.559020,0.500029
INFINITE,110,21.454474,0.549562,20.904913,10.997847,0.393344,0.559215,0.500193
INFINITE,111,21.454612,0.549370,20.905242,10.996216,0.393223,0.559103,0.500134
INFINITE,112,21.460223,0.549260,20.910963,10.999402,0.393317,0.559338,0.500190
INFINITE,113,21.460833,0.548978,20.911856,10.997396,0.393181,0.559333,0.500119
INFINITE,114,21.464487,0.549083,20.915404,10.998690,0.393256,0.559393,0.500146
INFINITE,115,21.460869,0.548691,20.912178,10.997374,0.393128,0.559260,0.500120
INFINITE,116,21.460296,0.549061,20.911235,10.998568,0.393164,0.559346,0.500164
INFINITE,117,21.462737,0.549661,20.913076,10.999644,0.393402,0.559408,0.500186
INFINITE,118,21.464147,0.550014,20.914133,11.003343,0.393498,0.559628,0.500356
INFINITE,119,21.466494,0.550056,20.916439,11.004621,0.393568,0.559700,0.500369
INFINITE,120,21.469614,0.549742,20.919872,11.005747,0.393626,0.559716,0.500330
INFINITE,121,21.467327,0.549397,20.917930,11.004136,0.393499,0.559686,0.500321
INFINITE,122,21.470476,0.549361,20.921115,11.004536,0.393552,0.559665,0.500241
INFINITE,123,21.476549,0.549300,20.927249,11.006166,0.393460,0.559730,0.500166
INFINITE,124,21.472956,0.549135,20.923821,11.004041,0.393260,0.559632,0.500135
INFINITE,125,21.469935,0.548732,20.921203,11.005128,0.393199,0.559625,0.500187
INFINITE,126,21.474617,0.549065,20.925552,11.007346,0.393274,0.559685,0.500171
INFINITE,127,21.477067,0.549266,20.927800,11.008144,0.393387,0.559702,0.500163
INFINITE,128,21.473895,0.548855,20.925040,11.005399,0.393126,0.559516,0.500107
