SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,20.871300,0.099363,20.771938,6.062824,0.028863,0.548542,0.290486
INFINITE,2,20.233062,0.050578,20.182485,5.810918,0.014686,0.526930,0.287092
INFINITE,3,20.215664,0.057510,20.158154,5.772303,0.016505,0.523254,0.285462
INFINITE,4,20.831031,0.085365,20.745666,5.958778,0.024518,0.539478,0.285955
INFINITE,5,21.101034,0.257497,20.843536,6.125581,0.077557,0.549820,0.290013
INFINITE,6,21.190587,0.216454,20.974133,6.132003,0.065164,0.551531,0.289156
INFINITE,7,21.109535,0.193978,20.915557,6.089030,0.058243,0.548253,0.288240
INFINITE,8,21.056905,0.172890,20.884015,6.087925,0.051891,0.548730,0.288947
INFINITE,9,21.086520,0.193715,20.892804,6.138667,0.058413,0.552750,0.290944
INFINITE,10,21.096696,0.178513,20.918183,6.170111,0.053842,0.556024,0.292306
INFINITE,11,21.183351,0.174212,21.009140,6.181520,0.052352,0.557197,0.291688
INFINITE,12,21.260641,0.180875,21.079766,6.227284,0.054437,0.561168,0.292748
INFINITE,13,21.366751,0.232597,21.134154,6.285491,0.070497,0.564999,0.293958
INFINITE,14,21.199929,0.223704,20.976225,6.240401,0.067756,0.561150,0.294183
INFINITE,15,21.150098,0.216482,20.933616,6.233617,0.065547,0.560734,0.294580
INFINITE,16,21.136644,0.212557,20.924087,6.221525,0.064222,0.559755,0.294201
INFINITE,17,21.114736,0.209178,20.905557,6.213404,0.063117,0.559117,0.294130
INFINITE,18,21.145789,0.209114,20.936676,6.214360,0.062933,0.559221,0.293760
INFINITE,19,21.091301,0.198256,20.893045,6.191827,0.059663,0.557469,0.293442
INFINITE,20,21.137367,0.191289,20.946078,6.204344,0.057542,0.558800,0.293403
INFINITE,21,21.026093,0.183110,20.842983,6.160169,0.055063,0.555010,0.292796
INFINITE,22,20.921514,0.175601,20.745913,6.121711,0.052791,0.551720,0.292387
INFINITE,23,20.944962,0.172794,20.772168,6.134568,0.051940,0.552966,0.292676
INFINITE,24,20.945651,0.190473,20.755178,6.151159,0.057529,0.553966,0.293466
INFINITE,25,20.919514,0.184731,20.734783,6.149033,0.055792,0.553931,0.293748
INFINITE,26,20.938271,0.179470,20.758801,6.139720,0.054155,0.553233,0.293063
INFINITE,27,20.965845,0.173557,20.792288,6.129650,0.052348,0.552482,0.292232
INFINITE,28,20.937372,0.173383,20.763989,6.113750,0.052176,0.551052,0.291861
INFINITE,29,20.965665,0.172744,20.792921,6.110740,0.051856,0.550808,0.291348
INFINITE,30,20.959387,0.170136,20.789251,6.101672,0.051013,0.550060,0.291003
INFINITE,31,20.957647,0.166036,20.791611,6.099005,0.049767,0.549931,0.290904
INFINITE,32,20.962515,0.162565,20.799950,6.111157,0.048739,0.551129,0.291416
INFINITE,33,20.934315,0.158486,20.775829,6.116491,0.047528,0.551724,0.292096
