Center, E[Ts]_Diff, E[Tq]_Diff, E[s]_Diff, E[Ns]_Diff, E[Nq]_Diff, ρ_Diff, λ_Diff
0,0.021043108716629177,6.275811074558518E-4,0.020415527609173978,0.05216103704845665,0.009059415514737462,0.0018551652291877163,0.0034081556875280583
1,0.24895448849420987,0.06977122633623001,0.17918326215798075,0.013858499313617045,0.06656149393165067,0.0047911813289120975,0.004099211052706386
2,0.2321859939472013,0.1541762528270345,0.0780097411201659,0.07618766638354835,0.007995311601054933,0.006199304980226583,1.1734077499614415E-4
