Seed,Center,Time,ETs,ENs,ETq,ENq,ES,ENS,Rho
1,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
1,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
2,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,100.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,200.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,300.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,400.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,500.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,600.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,700.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,800.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,900.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
3,3,1000.00,NaN,0.00000,NaN,0.00000,NaN,0.00000,NaN
