SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,99,20.041971,0.113011,19.928960,24.060919,0.136398,0.724985,1.200497
INFINITE,100,20.048151,0.113721,19.934430,24.065700,0.137220,0.725105,1.200369
INFINITE,101,20.047696,0.113264,19.934432,24.060594,0.136649,0.724968,1.200142
INFINITE,102,20.044189,0.112297,19.931892,24.055518,0.135480,0.724850,1.200098
INFINITE,103,20.049750,0.113879,19.935871,24.056181,0.137293,0.724815,1.199807
INFINITE,104,20.047055,0.113300,19.933755,24.052672,0.136590,0.724730,1.199793
INFINITE,105,20.051916,0.112885,19.939031,24.051107,0.136061,0.724698,1.199433
INFINITE,106,20.048219,0.112812,19.935407,24.047608,0.135972,0.724595,1.199481
INFINITE,107,20.053056,0.114131,19.938925,24.055839,0.137579,0.724796,1.199599
INFINITE,108,20.044816,0.114194,19.930623,24.045027,0.137641,0.724466,1.199551
INFINITE,109,20.049756,0.115659,19.934097,24.053195,0.139423,0.724660,1.199660
INFINITE,110,20.052472,0.115550,19.936922,24.056661,0.139287,0.724769,1.199670
INFINITE,111,20.057219,0.115286,19.941933,24.057242,0.138943,0.724797,1.199422
INFINITE,112,20.057349,0.114499,19.942850,24.055105,0.137990,0.724761,1.199308
INFINITE,113,20.054956,0.114104,19.940852,24.047722,0.137495,0.724552,1.199080
INFINITE,114,20.049835,0.113459,19.936376,24.040059,0.136713,0.724344,1.199002
INFINITE,115,20.052402,0.112797,19.939605,24.039785,0.135906,0.724360,1.198837
INFINITE,116,20.047659,0.111873,19.935786,24.023708,0.134789,0.723907,1.198304
INFINITE,117,20.045067,0.113074,19.931993,24.022635,0.136248,0.723830,1.198407
INFINITE,118,20.049977,0.113841,19.936136,24.029600,0.137172,0.724013,1.198460
INFINITE,119,20.051578,0.114071,19.937507,24.033396,0.137455,0.724119,1.198553
INFINITE,120,20.054098,0.113882,19.940216,24.037590,0.137228,0.724253,1.198611
INFINITE,121,20.055343,0.114171,19.941172,24.042546,0.137594,0.724392,1.198782
INFINITE,122,20.056317,0.113728,19.942589,24.047134,0.137066,0.724547,1.198952
INFINITE,123,20.054341,0.113362,19.940978,24.046201,0.136627,0.724533,1.199025
INFINITE,124,20.055988,0.114540,19.941448,24.054415,0.138114,0.724736,1.199333
INFINITE,125,20.055752,0.113964,19.941788,24.057551,0.137425,0.724852,1.199504
INFINITE,126,20.054999,0.113879,19.941120,24.062068,0.137345,0.724992,1.199776
INFINITE,127,20.048463,0.113168,19.935295,24.049806,0.136481,0.724646,1.199546
INFINITE,128,20.047626,0.113767,19.933859,24.049031,0.137196,0.724601,1.199558
