SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,64,20.941885,1.031335,19.910550,13.705805,0.444349,0.722733,0.665957
INFINITE,65,20.952261,1.038619,19.913642,13.712113,0.447594,0.722847,0.665941
INFINITE,66,20.954179,1.040132,19.914047,13.714953,0.448203,0.723041,0.666120
INFINITE,67,20.966782,1.042318,19.924464,13.716559,0.449151,0.723129,0.665870
INFINITE,68,20.961789,1.041661,19.920128,13.719368,0.449584,0.723094,0.666057
INFINITE,69,20.953970,1.037145,19.916825,13.717015,0.447694,0.723075,0.666115
INFINITE,70,20.962276,1.043956,19.918319,13.721075,0.450135,0.723234,0.666173
INFINITE,71,20.959139,1.040202,19.918937,13.719960,0.448308,0.723250,0.666145
INFINITE,72,20.954002,1.042686,19.911316,13.715508,0.449217,0.723136,0.666165
INFINITE,73,20.953395,1.042092,19.911304,13.720206,0.450822,0.723264,0.666281
INFINITE,74,20.956860,1.039068,19.917792,13.720432,0.450174,0.723363,0.666118
INFINITE,75,20.958323,1.039024,19.919299,13.722354,0.450019,0.723442,0.666179
INFINITE,76,20.963028,1.040255,19.922773,13.722461,0.450200,0.723628,0.666211
INFINITE,77,20.957740,1.037676,19.920064,13.722886,0.449135,0.723609,0.666290
INFINITE,78,20.972875,1.045903,19.926972,13.729889,0.452213,0.723887,0.666327
INFINITE,79,20.966603,1.039876,19.926727,13.729515,0.449751,0.723944,0.666414
INFINITE,80,20.965405,1.039223,19.926182,13.727577,0.449301,0.723904,0.666453
INFINITE,81,20.969141,1.043639,19.925501,13.734178,0.451729,0.724071,0.666594
INFINITE,82,20.963248,1.039826,19.923422,13.734608,0.450080,0.724097,0.666792
INFINITE,83,20.967722,1.040472,19.927251,13.736748,0.450305,0.724193,0.666808
INFINITE,84,20.956291,1.034442,19.921849,13.727309,0.447650,0.723709,0.666558
INFINITE,85,20.951964,1.030433,19.921531,13.725163,0.445849,0.723633,0.666452
INFINITE,86,20.946529,1.028209,19.918320,13.718391,0.444685,0.723480,0.666317
INFINITE,87,20.960166,1.033051,19.927115,13.724200,0.446493,0.723803,0.666304
INFINITE,88,20.975173,1.039263,19.935910,13.731274,0.448997,0.724269,0.666347
INFINITE,89,21.009523,1.068977,19.940547,13.747231,0.461333,0.724563,0.666448
INFINITE,90,20.998761,1.061631,19.937129,13.737960,0.457997,0.724109,0.666225
INFINITE,91,21.000842,1.062661,19.938182,13.737975,0.458174,0.724074,0.666111
INFINITE,92,21.003870,1.066597,19.937274,13.742740,0.459867,0.724255,0.666271
INFINITE,93,21.011176,1.071620,19.939556,13.748324,0.461904,0.724430,0.666396
INFINITE,94,21.021199,1.076150,19.945048,13.751985,0.463478,0.724668,0.666416
INFINITE,95,21.023107,1.076354,19.946753,13.755284,0.463459,0.724770,0.666432
INFINITE,96,21.029418,1.077757,19.951661,13.759297,0.463827,0.724943,0.666507
INFINITE,97,21.028089,1.079118,19.948971,13.757508,0.464067,0.724873,0.666566
INFINITE,98,21.043300,1.091666,19.951635,13.762239,0.469617,0.724944,0.666559
INFINITE,99,21.049577,1.091438,19.958139,13.761825,0.469220,0.725095,0.666418
INFINITE,100,21.045762,1.087212,19.958550,13.760926,0.467676,0.725074,0.666370
INFINITE,101,21.054285,1.098524,19.955761,13.763885,0.472276,0.725016,0.666341
INFINITE,102,21.054753,1.100619,19.954133,13.762250,0.472766,0.724902,0.666301
INFINITE,103,21.063137,1.107235,19.955902,13.764656,0.475762,0.724871,0.666185
INFINITE,104,21.067095,1.108445,19.958650,13.765252,0.476090,0.724952,0.666171
INFINITE,105,21.076115,1.115137,19.960978,13.770161,0.478931,0.725161,0.666159
INFINITE,106,21.066093,1.109292,19.956800,13.764588,0.476518,0.724943,0.666132
INFINITE,107,21.068902,1.110306,19.958596,13.767032,0.477187,0.724971,0.666138
INFINITE,108,21.067356,1.109734,19.957622,13.763992,0.476954,0.724935,0.666126
INFINITE,109,21.076589,1.115739,19.960849,13.770249,0.479789,0.725117,0.666185
INFINITE,110,21.073080,1.110927,19.962153,13.767858,0.477746,0.725013,0.666104
INFINITE,111,21.082478,1.116089,19.966389,13.770418,0.479600,0.725058,0.665990
INFINITE,112,21.089964,1.118315,19.971649,13.771831,0.480189,0.725157,0.665916
INFINITE,113,21.083569,1.113580,19.969989,13.766264,0.478134,0.724977,0.665799
INFINITE,114,21.079118,1.112582,19.966537,13.763893,0.477642,0.724945,0.665834
INFINITE,115,21.076622,1.111626,19.964995,13.764203,0.477212,0.725002,0.665860
INFINITE,116,21.076390,1.111102,19.965288,13.758176,0.476698,0.724803,0.665631
INFINITE,117,21.079703,1.111875,19.967829,13.758287,0.477215,0.724817,0.665613
INFINITE,118,21.078505,1.109132,19.969373,13.758886,0.476266,0.724836,0.665604
INFINITE,119,21.078310,1.106999,19.971311,13.760938,0.475517,0.725019,0.665686
INFINITE,120,21.084602,1.107995,19.976607,13.763910,0.475862,0.725169,0.665675
INFINITE,121,21.083447,1.108777,19.974670,13.764455,0.476214,0.725094,0.665710
INFINITE,122,21.078477,1.104862,19.973615,13.761556,0.474411,0.724891,0.665655
INFINITE,123,21.072204,1.101013,19.971191,13.759045,0.472768,0.724822,0.665682
INFINITE,124,21.071268,1.100854,19.970413,13.761561,0.473047,0.724889,0.665803
INFINITE,125,21.071068,1.101535,19.969533,13.764000,0.473259,0.725014,0.665928
INFINITE,126,21.061455,1.096422,19.965033,13.762135,0.471192,0.724940,0.666038
INFINITE,127,21.069362,1.103842,19.965520,13.762754,0.474280,0.724946,0.665976
INFINITE,128,21.066418,1.100878,19.965540,13.762617,0.473285,0.725054,0.666038
