SimulationType,Batch,ETs,ETq,ES,EN,ENq,rho,lambda
INFINITE,0,0,0,0,0,0,0,0
INFINITE,1,20.914847,1.403849,19.510998,8.443370,0.566737,0.716058,0.403702
INFINITE,2,21.037869,1.358529,19.679340,8.320994,0.537765,0.707566,0.395572
INFINITE,3,21.332429,1.777642,19.554787,8.758352,0.741677,0.728789,0.410193
INFINITE,4,21.304092,1.584622,19.719470,8.675549,0.656097,0.729041,0.406932
INFINITE,5,21.238841,1.555018,19.683822,8.609079,0.639149,0.724539,0.405088
INFINITE,6,21.150162,1.465713,19.684449,8.493801,0.597573,0.717839,0.401300
INFINITE,7,21.436453,1.543933,19.892520,8.609227,0.627747,0.725589,0.401362
INFINITE,8,21.481287,1.631733,19.849554,8.573608,0.656522,0.719735,0.398933
INFINITE,9,21.410856,1.562359,19.848496,8.553179,0.628620,0.720414,0.399322
INFINITE,10,21.376201,1.542457,19.833744,8.512526,0.618485,0.717640,0.398065
INFINITE,11,21.384378,1.534413,19.849965,8.527646,0.615700,0.719268,0.398632
INFINITE,12,21.279599,1.474139,19.805460,8.484179,0.591279,0.717536,0.398561
INFINITE,13,21.262184,1.422734,19.839450,8.485974,0.570846,0.719557,0.398987
INFINITE,14,21.224024,1.376140,19.847884,8.466635,0.551881,0.719523,0.398797
INFINITE,15,21.372713,1.471235,19.901479,8.552164,0.592754,0.723583,0.399923
INFINITE,16,21.381902,1.465117,19.916786,8.566507,0.590734,0.725070,0.400433
INFINITE,17,21.408895,1.456573,19.952322,8.583578,0.587469,0.726919,0.400731
INFINITE,18,21.392337,1.414522,19.977815,8.558219,0.569796,0.726220,0.399856
INFINITE,19,21.355945,1.395314,19.960631,8.559347,0.562701,0.726968,0.400625
INFINITE,20,21.389939,1.397635,19.992304,8.584670,0.564223,0.729132,0.401164
INFINITE,21,21.567730,1.566918,20.000811,8.700936,0.640860,0.732734,0.402960
INFINITE,22,21.534050,1.534781,19.999269,8.676990,0.627071,0.731811,0.402484
INFINITE,23,21.654903,1.648302,20.006601,8.736319,0.674250,0.732915,0.402941
INFINITE,24,21.616473,1.614358,20.002115,8.705415,0.659551,0.731442,0.402219
INFINITE,25,21.651296,1.621677,20.029619,8.721400,0.662278,0.732647,0.402326
INFINITE,26,21.637772,1.616696,20.021077,8.711446,0.659608,0.731985,0.402133
INFINITE,27,21.608015,1.591393,20.016622,8.687548,0.648564,0.730817,0.401579
INFINITE,28,21.583095,1.563512,20.019583,8.668411,0.636689,0.730157,0.401159
INFINITE,29,21.546685,1.546818,19.999867,8.660627,0.630042,0.730053,0.401509
INFINITE,30,21.510434,1.530866,19.979568,8.642255,0.623155,0.729009,0.401338
INFINITE,31,21.582215,1.603089,19.979127,8.678396,0.653071,0.729575,0.401659
INFINITE,32,21.587164,1.606537,19.980627,8.670104,0.653383,0.728793,0.401200
INFINITE,33,21.605719,1.624446,19.981273,8.666223,0.659207,0.727911,0.400703
INFINITE,34,21.560826,1.594817,19.966009,8.636519,0.646739,0.726344,0.400132
INFINITE,35,21.529351,1.569044,19.960307,8.627265,0.636302,0.726451,0.400309
INFINITE,36,21.525529,1.568012,19.957517,8.638676,0.636606,0.727461,0.400925
INFINITE,37,21.593509,1.618822,19.974688,8.648313,0.654268,0.726731,0.400202
