SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,135,20.937999,1.146770,19.791230,8.387562,0.496754,0.717346,0.400396
INFINITE,136,20.971054,1.180606,19.790449,8.412261,0.512637,0.718148,0.400848
INFINITE,137,20.942506,1.172598,19.769908,8.404445,0.509158,0.717753,0.401063
INFINITE,138,20.931337,1.172122,19.759214,8.409975,0.509261,0.718247,0.401581
INFINITE,139,20.930963,1.163837,19.767126,8.394760,0.505650,0.717192,0.400861
INFINITE,140,20.903791,1.155623,19.748167,8.390401,0.502082,0.717120,0.401245
INFINITE,141,20.907047,1.153294,19.753753,8.385612,0.500642,0.716815,0.400961
INFINITE,142,20.877492,1.145240,19.732252,8.373620,0.497146,0.716043,0.400954
INFINITE,143,20.880698,1.149309,19.731389,8.387878,0.499568,0.717119,0.401562
INFINITE,144,20.914790,1.170071,19.744719,8.399475,0.507309,0.717470,0.401482
INFINITE,145,20.944409,1.171492,19.772917,8.412213,0.507669,0.718595,0.401516
INFINITE,146,20.931139,1.170922,19.760217,8.409218,0.507321,0.718354,0.401640
INFINITE,147,20.949331,1.177379,19.771951,8.427779,0.510679,0.719736,0.402117
INFINITE,148,20.949722,1.169477,19.780244,8.421248,0.507252,0.719454,0.401800
INFINITE,149,20.974992,1.182109,19.792882,8.439062,0.513030,0.720548,0.402111
INFINITE,150,20.993505,1.175529,19.817977,8.433304,0.510030,0.720298,0.401557
INFINITE,151,20.986661,1.168320,19.818341,8.428170,0.506876,0.720118,0.401438
INFINITE,152,20.978388,1.169122,19.809266,8.438886,0.507870,0.721001,0.402151
INFINITE,153,20.966207,1.161717,19.804490,8.435289,0.504650,0.720967,0.402220
INFINITE,154,20.968243,1.154428,19.813815,8.429482,0.501467,0.720729,0.401909
INFINITE,155,20.954076,1.147457,19.806619,8.424318,0.498427,0.720536,0.401938
INFINITE,156,20.965060,1.171062,19.793999,8.426711,0.507247,0.719951,0.401850
INFINITE,157,20.971004,1.189419,19.781585,8.451786,0.518611,0.721198,0.402886
INFINITE,158,20.994357,1.196737,19.797620,8.468768,0.522036,0.722430,0.403194
INFINITE,159,20.986872,1.193706,19.793166,8.465377,0.520554,0.722257,0.403176
INFINITE,160,20.986571,1.190175,19.796396,8.458797,0.518694,0.721827,0.402869
INFINITE,161,20.986027,1.182828,19.803198,8.453483,0.515493,0.721635,0.402626
INFINITE,162,20.994763,1.176543,19.818221,8.443561,0.512626,0.720994,0.402027
INFINITE,163,20.993676,1.172414,19.821262,8.440617,0.510665,0.720905,0.401908
INFINITE,164,20.974051,1.165349,19.808702,8.429324,0.507585,0.720158,0.401717
INFINITE,165,20.950588,1.158897,19.791691,8.425483,0.504787,0.720063,0.402045
INFINITE,166,20.997106,1.179463,19.817643,8.435616,0.511454,0.720378,0.401748
INFINITE,167,21.203604,1.351099,19.852505,8.527425,0.584954,0.722043,0.401906
INFINITE,168,21.405085,1.531536,19.873549,8.630600,0.670038,0.723688,0.402309
INFINITE,169,21.409784,1.555956,19.853828,8.644546,0.682659,0.723808,0.402857
INFINITE,170,21.356709,1.546857,19.809852,8.616517,0.678667,0.721623,0.402327
INFINITE,171,21.362087,1.537864,19.824224,8.603610,0.674721,0.720808,0.401657
INFINITE,172,21.347547,1.529877,19.817669,8.595789,0.671169,0.720420,0.401559
INFINITE,173,21.328161,1.521111,19.807051,8.586425,0.667321,0.719919,0.401479
INFINITE,174,21.317355,1.512514,19.804840,8.579809,0.663545,0.719660,0.401369
INFINITE,175,21.311582,1.508915,19.802667,8.586792,0.662188,0.720419,0.401833
INFINITE,176,21.314942,1.506737,19.808205,8.589443,0.661070,0.720761,0.401899
INFINITE,177,21.303731,1.498892,19.804839,8.578317,0.657568,0.720068,0.401563
INFINITE,178,21.275946,1.490518,19.785427,8.557098,0.653895,0.718473,0.400955
INFINITE,179,21.259870,1.483776,19.776094,8.549498,0.650864,0.718058,0.400900
INFINITE,180,21.251113,1.475579,19.775534,8.544602,0.647268,0.717939,0.400837
INFINITE,181,21.245208,1.467471,19.777737,8.536156,0.643712,0.717495,0.400543
INFINITE,182,21.241051,1.465882,19.775169,8.529936,0.642516,0.717038,0.400327
INFINITE,183,21.233251,1.459402,19.773849,8.525678,0.639606,0.716916,0.400277
INFINITE,184,21.248228,1.454569,19.793658,8.530178,0.637340,0.717531,0.400221
INFINITE,185,21.223282,1.447919,19.775363,8.528723,0.634495,0.717657,0.400743
INFINITE,186,21.215101,1.444376,19.770725,8.528461,0.632910,0.717777,0.400903
INFINITE,187,21.229986,1.438968,19.791018,8.521434,0.630227,0.717382,0.400367
INFINITE,188,21.240779,1.435251,19.805527,8.523915,0.628398,0.717774,0.400292
INFINITE,189,21.237221,1.431846,19.805375,8.530415,0.627059,0.718487,0.400683
INFINITE,190,21.222396,1.424350,19.798046,8.514531,0.623776,0.717341,0.400149
INFINITE,191,21.213133,1.416931,19.796202,8.506372,0.620527,0.716895,0.399926
INFINITE,192,21.194066,1.410649,19.783417,8.499266,0.617743,0.716502,0.399962
INFINITE,193,21.213324,1.405076,19.808248,8.503553,0.615195,0.717123,0.399830
INFINITE,194,21.216611,1.404222,19.812389,8.515082,0.615164,0.718174,0.400303
INFINITE,195,21.220818,1.404492,19.816326,8.526535,0.615655,0.719171,0.400751
INFINITE,196,21.235809,1.409105,19.826704,8.537402,0.617712,0.719972,0.400956
INFINITE,197,21.269906,1.413681,19.856225,8.540316,0.618400,0.720174,0.400576
INFINITE,198,21.234855,1.406577,19.828278,8.525363,0.615292,0.719097,0.400519
INFINITE,199,21.233478,1.399556,19.833922,8.515473,0.612219,0.718478,0.400079
INFINITE,200,21.231774,1.397537,19.834237,8.515848,0.611207,0.718604,0.400134
INFINITE,201,21.212526,1.391862,19.820664,8.513962,0.608764,0.718654,0.400475
INFINITE,202,21.214621,1.388737,19.825884,8.510632,0.607117,0.718501,0.400287
INFINITE,203,21.210882,1.386013,19.824869,8.514230,0.605987,0.718931,0.400541
INFINITE,204,21.206527,1.385686,19.820842,8.510398,0.605478,0.718629,0.400442
INFINITE,205,21.271664,1.430696,19.840968,8.543066,0.625310,0.719796,0.400635
INFINITE,206,21.248544,1.423913,19.824630,8.533416,0.622341,0.719189,0.400618
INFINITE,207,21.257127,1.418648,19.838479,8.533206,0.619931,0.719389,0.400464
INFINITE,208,21.243948,1.415434,19.828514,8.528501,0.618423,0.719098,0.400500
INFINITE,209,21.214853,1.408813,19.806040,8.517213,0.615527,0.718335,0.400530
INFINITE,210,21.250056,1.413023,19.837034,8.522722,0.616289,0.718767,0.400234
INFINITE,211,21.232859,1.406581,19.826277,8.511174,0.613459,0.717974,0.399973
INFINITE,212,21.283572,1.414125,19.869447,8.511383,0.614357,0.717911,0.399350
INFINITE,213,21.287896,1.415895,19.872001,8.520556,0.615438,0.718647,0.399687
INFINITE,214,21.272822,1.409309,19.863513,8.512232,0.612575,0.718151,0.399563
INFINITE,215,21.266303,1.402785,19.863519,8.498827,0.609739,0.717190,0.399022
INFINITE,216,21.245024,1.396320,19.848704,8.486853,0.606930,0.716357,0.398817
INFINITE,217,21.280674,1.410765,19.869909,8.499418,0.612212,0.717019,0.398762
INFINITE,218,21.286050,1.416315,19.869735,8.515152,0.615795,0.718123,0.399370
INFINITE,219,21.304313,1.423032,19.881281,8.518980,0.617860,0.718284,0.399235
INFINITE,220,21.380209,1.484254,19.895954,8.562393,0.647251,0.719558,0.399581
INFINITE,221,21.380783,1.485313,19.895470,8.558968,0.647145,0.719257,0.399415
INFINITE,222,21.409481,1.505434,19.904046,8.571316,0.655149,0.719652,0.399450
INFINITE,223,21.392828,1.499719,19.893108,8.563591,0.652613,0.719180,0.399395
INFINITE,224,21.386520,1.493135,19.893385,8.558264,0.649743,0.718957,0.399258
INFINITE,225,21.410813,1.498539,19.912273,8.567444,0.651619,0.719620,0.399242
INFINITE,226,21.441367,1.516466,19.924901,8.584674,0.659546,0.720466,0.399423
INFINITE,227,21.457830,1.514659,19.943171,8.587143,0.658412,0.720794,0.399263
INFINITE,228,21.443981,1.510648,19.933333,8.588889,0.656817,0.721097,0.399666
INFINITE,229,21.426843,1.504785,19.922058,8.581590,0.654239,0.720668,0.399645
INFINITE,230,21.427657,1.500028,19.927629,8.576915,0.652017,0.720445,0.399417
INFINITE,231,21.412326,1.496390,19.915936,8.569457,0.650290,0.719924,0.399347
INFINITE,232,21.408816,1.492711,19.916105,8.567373,0.648576,0.719891,0.399318
INFINITE,233,21.391362,1.486638,19.904725,8.561655,0.645932,0.719611,0.399394
INFINITE,234,21.382812,1.481154,19.901659,8.547960,0.643415,0.718595,0.398868
INFINITE,235,21.391830,1.484424,19.907405,8.555742,0.644905,0.719167,0.399049
INFINITE,236,21.391645,1.495464,19.896181,8.568041,0.651481,0.719687,0.399633
INFINITE,237,21.393512,1.489180,19.904331,8.558211,0.648744,0.719042,0.399152
INFINITE,238,21.392958,1.484210,19.908748,8.554765,0.646488,0.718934,0.399004
INFINITE,239,21.422065,1.504995,19.917069,8.577718,0.657160,0.720051,0.399407
INFINITE,240,21.408241,1.498750,19.909490,8.563740,0.654433,0.719028,0.398944
INFINITE,241,21.418604,1.495424,19.923180,8.559986,0.652646,0.718849,0.398618
INFINITE,242,21.429508,1.497437,19.932072,8.568385,0.653557,0.719530,0.398790
INFINITE,243,21.419700,1.491578,19.928121,8.564228,0.650989,0.719385,0.398782
INFINITE,244,21.420093,1.488491,19.931603,8.565860,0.649582,0.719662,0.398855
INFINITE,245,21.402959,1.483843,19.919116,8.569198,0.647708,0.720135,0.399452
