Center, E[Ts]_Diff, E[Ts]_CI, E[Ts]_Within, E[Tq]_Diff, E[Tq]_CI, E[Tq]_Within, E[s]_Diff, E[s]_CI, E[s]_Within, E[Ns]_Diff, E[Ns]_CI, E[Ns]_Within, E[Nq]_Diff, E[Nq]_CI, E[Nq]_Within, ρ_Diff, ρ_CI, ρ_Within, λ_Diff, λ_CI, λ_Within
0,0.07602142363573705,0.07412797353993951,false,0.009880183733168693,0.01628180162333955,true,0.06614123990256715,0.06677155395914791,true,0.09934551291633298,0.12675119132753598,true,0.011181021735900548,0.01979863523606597,true,0.0026716512478919263,0.0035101052047586713,true,4.4199989957594E-4,0.004226455909186904,true
1,0.07098252299964614,0.26096199039986,true,0.036419587743188986,0.1889404045346839,true,0.034562935256456484,0.10835209099040813,true,0.0337769086834534,0.12324047938512238,true,0.018824515997181046,0.0775145174702646,true,0.001359308426024719,0.005366665583633629,true,1.0004384526485222E-4,0.002258649835296302,true
2,0.18546067556258805,0.2848255192846463,true,0.11365982869709135,0.20117820702823844,true,0.07180084686549648,0.12790453490478135,true,0.10139839151669072,0.13660257415139176,true,0.04260804767976867,0.08275115655625517,true,0.00534457671244748,0.006384303628203899,true,0.001545455182858535,0.0022193524120943183,true
