Center, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,21.659045610725737,1.6590456107257379,20.0,31.189025679445066,2.3890256794450626,0.8727272727272729,1.4400000000000002
1,28.191916644072833,8.191916644072833,20.0,13.532119989154962,3.9321199891549607,0.8727272727272729,0.4800000000000001
2,28.191916644072833,8.191916644072833,20.0,13.532119989154962,3.9321199891549607,0.8727272727272729,0.4800000000000001
