Center, E[Ts]_Diff, E[Tq]_Diff, E[s]_Diff, E[Ns]_Diff, E[Nq]_Diff, ρ_Diff, λ_Diff
0,0.1595711365978545,0.026158264569450196,0.13341287202840846,0.2711554774545597,0.031685311205975855,0.007256671704502726,0.0040199999999999125
1,0.11904811862413567,0.0403212590795583,0.15936937770372595,0.012085384860348825,0.019457556433614798,6.701974157525825E-4,0.0027800000000000047
2,0.35181278487223366,0.32895040726087577,0.022862377611335916,0.09601463856972714,0.12529990595813467,0.0026622970353105124,0.0019000000000000128
